title,duration,title_no,chapter,title_desc,time_min,time_sec
혼자 공부하는 파이썬 0강 - 소개와 시작하기 전에,8:51,0,1_시작하기,소개와 시작하기 전에,8,51
혼자 공부하는 파이썬 1강 - 개발 환경 설치,5:57,1,1_시작하기,개발 환경 설치,5,57
혼자 공부하는 파이썬 2강 - 코드 작성하고 실행하는 방법,12:49,2,1_시작하기,코드 작성하고 실행하는 방법,12,49
혼자 공부하는 파이썬 3강 - 코딩 전용 폰트,7:04,3,1_시작하기,코딩 전용 폰트,7,04
혼자 공부하는 파이썬 4강 - 29페이지 확인문제 + 잡담,8:30,4,1_시작하기,29페이지 확인문제 + 잡담,8,30
혼자 공부하는 파이썬 5강 - 기본 용어 정리,14:26,5,1_시작하기,기본 용어 정리,14,26
혼자 공부하는 파이썬 6강 - print() 함수,11:26,6,1_시작하기,print() 함수,11,26
혼자 공부하는 파이썬 7강 - 문자열 기본,14:39,7,2_자료형,문자열 기본,14,39
혼자 공부하는 파이썬 8강 - 문자열 연산자와 확인문제 풀이,11:34,8,2_자료형,문자열 연산자와 확인문제 풀이,11,34
혼자 공부하는 파이썬 9강 - 숫자와 숫자 연산자,15:23,9,2_자료형,숫자와 숫자 연산자,15,23
혼자 공부하는 파이썬 10강 - 변수와 입력,10:06,10,2_자료형,변수와 입력,10,06
혼자 공부하는 파이썬 11강 - 자료형 변환과 확인문제 풀이,14:05,11,2_자료형,자료형 변환과 확인문제 풀이,14,05
혼자 공부하는 파이썬 12강 - 문자열의 기본 함수,21:30,12,2_자료형,문자열의 기본 함수,21,30
혼자 공부하는 파이썬 13강 - 불,12:37,13,3_조건문,불,12,37
혼자 공부하는 파이썬 14강 - if 조건문,14:43,14,3_조건문,if 조건문,14,43
혼자 공부하는 파이썬 15강 - 3-1절 연습 문제,7:04,15,3_조건문,3-1절 연습 문제,7,04
혼자 공부하는 파이썬 16강 - elif 구문과 else 구문,8:33,16,3_조건문,elif 구문과 else 구문,8,33
혼자 공부하는 파이썬 17강 - bool() 함수와 pass 키워드,12:22,17,3_조건문,bool() 함수와 pass 키워드,12,22
혼자 공부하는 파이썬 18강 - 리스트 기본,8:21,18,4_반복문,리스트 기본,8,21
혼자 공부하는 파이썬 19강 - 리스트의 요소 추가 함수 + 비파괴적 함수와 파괴적 함수 구분,7:39,19,4_반복문,리스트의 요소 추가 함수 + 비파괴적 함수와 파괴적 함수 구분,7,39
혼자 공부하는 파이썬 20강 - 리스트의 요소 제거,5:09,20,4_반복문,리스트의 요소 제거,5,09
혼자 공부하는 파이썬 21강 - 리스트와 for 반복문,15:28,21,4_반복문,리스트와 for 반복문,15,28
혼자 공부하는 파이썬 22강 - 코드 흐름 읽는 훈련,13:02,22,4_반복문,코드 흐름 읽는 훈련,13,02
혼자 공부하는 파이썬 23강 - 딕셔너리,6:33,23,4_반복문,딕셔너리,6,33
혼자 공부하는 파이썬 24강 - 4-2절 확인 문제,15:19,24,4_반복문,4-2절 확인 문제,15,19
혼자 공부하는 파이썬 25강 - 범위(range)와 반복문,8:11,25,4_반복문,범위(range)와 반복문,8,11
혼자 공부하는 파이썬 26강 - while 반복문,7:38,26,4_반복문,while 반복문,7,38
혼자 공부하는 파이썬 27강 - break 키워드와 continue 키워드,7:48,27,4_반복문,break 키워드와 continue 키워드,7,48
혼자 공부하는 파이썬 28강 - 4-3절 확인문제,7:41,28,4_반복문,4-3절 확인문제,7,41
혼자 공부하는 파이썬 29강 - 리스트와 딕셔너리에 적용하는 함수,9:07,29,4_반복문,리스트와 딕셔너리에 적용하는 함수,9,07
