,header,title,favorite,price,category,creator
0,부업/창업/재테크・신사임당,"스마트스토어로 월 100만원 만들기, 평범한 사람이 돈을 만드는 비법",19423,"월 49,520원",부업/창업/재테크,신사임당
1,미술・둡 ,"연필 하나만으로 모든 분위기를 담아내요, 둡의 연필 드로잉",18477,"월 39,900원",미술,둡 
2,미술・Findenart 핀든아트,"여행 드로잉, 꿈만 꾸지 마세요. 핀든아트와 여행, 그리다",16725,"월 59,900원",미술,Findenart 핀든아트
3,디지털 드로잉・반지수,"일상에 따뜻한 숨결을 불어넣어요, 반지수와 함께하는 아이패드 드로잉",15665,"월 44,900원",디지털 드로잉,반지수
4,미술・집시 zipcy,일러스트레이터 집시의 매력적인 얼굴 그리기 ,13633,"월 49,900원",미술,집시 zipcy
5,사진/영상・슛뚜,일상 유튜버 슛뚜의 감성을 그대로. 영화같은 브이로그 제작법,13418,"월 46,900원",사진/영상,슛뚜
6,사진/영상・존코바,당신도 할 수 있다! 베테랑 실무자가 알려주는 모션그래픽의 모든 것,10971,"월 40,440원",사진/영상,존코바
7,미술・리니,어색한 그림은 이제 안녕! 드로잉 기초부터 시작하는 리니의 펜드로잉,10409,"월 58,800원",미술,리니
8,라이프 스타일・유잰,색다른컬러연구소 유잰의 색 감각 키우기,10004,"월 58,763원",라이프 스타일,유잰
9,사진/영상・MAZECT(마젝),사진 입문자를 위한 쉽게 배우고 빨리 써먹는 사진과 라이트룸,9662,"월 46,900원",사진/영상,MAZECT(마젝)
10,부업/창업/재테크・리뷰요정리남,블로그 기초과정 ❘ 블로그로 하루 2시간 투자해서 직장인만큼 수익내기!,9432,"월 45,632원",부업/창업/재테크,리뷰요정리남
11,미술・펜크래프트,"사각사각 손글씨의 낭만, 펜크래프트의 한글 정자체 펜글씨",9222,"월 41,898원",미술,펜크래프트
12,부업/창업/재테크・노마드 그레이쓰,"나만의 취미로 돈 버는 방법, 디지털 파일 판매의 모든 것!",9102,"월 39,750원",부업/창업/재테크,노마드 그레이쓰
13,미술・배성규,"마카와 색연필로 그려내는 일상의 기록, 뜻밖의 풍경, 찰나의 순간",8533,"월 49,900원",미술,배성규
14,미술・리니,"💣마카와 펜, 드로잉북만 들고 떠나요! 마카로 담는 여행의 특별한 기억",8451,"월 46,810원",미술,리니
15,공예・멘티자수,귀여운 동물들로 나만의 소품 완성! 멘티자수와 함께하는 프랑스자수,8094,"월 50,820원",공예,멘티자수
16,디지털 드로잉・그리지영,나만의 문방구를 차려요! 그리지영의 타블렛으로 굿즈 만들기,7868,"월 47,900원",디지털 드로잉,그리지영
17,사진/영상・안대훈,한 편의 뮤직비디오 같은 안대훈의 여행 영상 제작법,7844,"월 42,980원",사진/영상,안대훈
